address,amenities,buildingSize,city,extraInfo,listingDate,listingID,price,propType,spaceAvailable,spaces,state,status,subType,transport,utilities
30 South St,,"18,000 SF",Mount Vernon,"Rental Rate,$14.00 /SF/YR,Rentable Building Area,18,000 SF,Property Type,Industrial,Year Built,1931,Property Subtype,Warehouse",2/21/2020,18589806,$1.17 SF/Mo,Industrial,"9,000 - 18,000 SF",2 Spaces,NY,For Lease,Industrial,"[('Wakefield-241 Street Transit Stop', '9 min walk', '0.4 mi'), ('Nereid Avenue Transit Stop', '16 min walk', '0.8 mi'), ('Wakefield Station Commuter Rail (Harlem Line)', '9 min walk', '0.4 mi'), ('Mount Vernon West Station Commuter Rail (Harlem Line)', '10 min walk', '0.5 mi'), ('La Guardia Airport', '25 min drive', '13.9 mi'), ('Westchester County Airport', '29 min drive', '18.1 mi'), ('John F. Kennedy International Airport', '33 min drive', '21.5 mi'), ('NY - Red Hook Container Terminal', '35 min drive', '22.4 mi'), ('Marschall Warehouse', '23 min drive', '14.8 mi')]","Lighting,Water"
262 Middle Island Rd,"24 Hour Access,Fenced Lot,Security System,Yard,Storage Space,Fluorescent Lighting,Air Conditioning","3,198 SF",Medford,"Rental Rate,$18.00 /SF/YR,Rentable Building Area,3,198 SF,Property Type,Industrial,Year Built,2000,Property Subtype,Warehouse",2/25/2020,18642264,$1.50 SF/Mo,Industrial,"3,198 SF",1 Space,NY,For Lease,Industrial,"[('Medford Station Commuter Rail (Greenport Branch)', '5 min drive', '2.2 mi'), ('Yaphank Station Commuter Rail (Greenport Branch)', '11 min drive', '6.0 mi'), ('Long Island MacArthur Airport', '18 min drive', '10.6 mi'), ('NY - Red Hook Container Terminal', '78 min drive', '61.8 mi'), ('Pinter Warehouse', '31 min drive', '21.2 mi')]","Lighting - Fluorescent,Water - City Water,Sewer - Septic Field,Heating - Fired Oil"
179 Van Ness St,,"12,840 SF",Newburgh,"Rental Rate,$12.00 /SF/YR,Rentable Building Area,12,840 SF,Property Type,Industrial,Year Built,1960,Property Subtype,Warehouse",3/9/2020,18802672,$1.00 SF/Mo,Industrial,"2,800 SF",1 Space,NY,For Lease,Industrial,"[('Beacon Station Commuter Rail (Hudson Line)', '10 min drive', '5.1 mi'), ('Breakneck Ridge Station Commuter Rail (Hudson Line)', '18 min drive', '9.8 mi'), ('Stewart International Airport', '14 min drive', '6.0 mi'), ('NY - Red Hook Container Terminal', '96 min drive', '70.8 mi'), (""Shepard'S Incorporated"", '57 min drive', '42.5 mi')]",
10727-10733 180 St,,"33,684 SF",Jamaica,"Rental Rate,$20.00 /SF/YR,Rentable Building Area,33,684 SF,Property Type,Industrial,Year Built,1930,Property Subtype,Warehouse",2/25/2020,18639850,$1.67 SF/Mo,Industrial,"7,200 SF",1 Space,NY,For Lease,Industrial,"[('Saint Albans Station Commuter Rail (West Hempstead Branch)', '20 min walk', '1.0 mi'), ('Hollis Station Commuter Rail (Hempstead Branch)', '5 min drive', '1.5 mi'), ('John F. Kennedy International Airport', '12 min drive', '7.0 mi'), ('La Guardia Airport', '16 min drive', '9.3 mi'), ('Newark Liberty International Airport', '51 min drive', '30.3 mi'), ('NY - Red Hook Container Terminal', '25 min drive', '13.2 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '15 min drive', '6.7 mi')]",
1325-1333 2nd Ave,"Property Manager on Site,Air Conditioning","27,368 SF",New Hyde Park,"Rental Rate,$24.00 /SF/YR,Rentable Building Area,27,368 SF,Property Type,Industrial,Year Built,1970,Property Subtype,Warehouse",3/10/2020,18820718,$2.00 SF/Mo,Industrial,"2,755 SF",1 Space,NY,For Lease,Office/Retail,,"Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
30-60 Skyline Dr,,"40,000 SF",Plainview,"Rental Rate,$12.95 /SF/YR,Rentable Building Area,40,000 SF,Property Type,Industrial,Year Built,1961,Property Subtype,Warehouse",3/11/2020,18826426,$1.08 SF/Mo,Industrial,"30,000 SF",1 Space,NY,For Lease,Industrial,"[('Bethpage Station Commuter Rail (Ronkonkoma Branch)', '11 min drive', '4.5 mi'), ('Syosset Station Commuter Rail (Port Jefferson Branch)', '12 min drive', '4.8 mi'), ('Long Island MacArthur Airport', '33 min drive', '20.9 mi'), ('La Guardia Airport', '39 min drive', '25.5 mi'), ('John F. Kennedy International Airport', '37 min drive', '28.0 mi'), ('NY - Red Hook Container Terminal', '50 min drive', '35.1 mi'), ('Pinter Warehouse', '17 min drive', '10.3 mi')]",Heating - Gas
300-320 Prospect St,Property Manager on Site,"26,300 SF",Inwood,"Rental Rate,$14.00 - $17.00 /SF/YR,Rentable Building Area,26,300 SF,Property Type,Industrial,Year Built,1991,Property Subtype,Warehouse",3/11/2020,18832194,$1.17 - $1.42 SF/Mo,Industrial,"11,700 - 26,300 SF",2 Spaces,NY,For Lease,Industrial,"[('Far Rockaway-Mott Avenue Transit Stop', '18 min walk', '0.9 mi'), ('Inwood Station Commuter Rail (Far Rockaway Branch)', '5 min walk', '0.2 mi'), ('Far Rockaway Station Commuter Rail (Far Rockaway Branch)', '15 min walk', '0.7 mi'), ('John F. Kennedy International Airport', '13 min drive', '7.9 mi'), ('La Guardia Airport', '21 min drive', '14.8 mi'), ('Newark Liberty International Airport', '54 min drive', '30.4 mi'), ('NY - Red Hook Container Terminal', '27 min drive', '17.4 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '20 min drive', '12.4 mi')]",
121 Henry St,,"30,000 SF",Freeport,"Rental Rate,$15.00 /SF/YR,Rentable Building Area,30,000 SF,Property Type,Industrial,Year Built/Renovated,1953/2017,Property Subtype,Warehouse",3/12/2020,18846431,$1.25 SF/Mo,Industrial,"13,040 SF",1 Space,NY,For Lease,Industrial,"[('Freeport Station Commuter Rail (Babylon Branch)', '9 min walk', '0.4 mi'), ('Merrick Station Commuter Rail (Babylon Branch)', '4 min drive', '2.2 mi'), ('John F. Kennedy International Airport', '19 min drive', '14.0 mi'), ('La Guardia Airport', '28 min drive', '21.0 mi'), ('Long Island MacArthur Airport', '40 min drive', '30.0 mi'), ('NY - Red Hook Container Terminal', '34 min drive', '23.6 mi'), ('Pinter Warehouse', '24 min drive', '19.8 mi')]","Gas - Natural,Heating - Gas"
432-436 Waverly Ave,,"11,656 SF",Mamaroneck,"Rental Rate,$18.00 /SF/YR,Rentable Building Area,11,656 SF,Property Type,Industrial,Year Built,1971,Property Subtype,Warehouse",4/10/2020,19189930,$1.50 SF/Mo,Industrial,"3,000 - 7,300 SF",2 Spaces,NY,For Lease,"Office, Industrial","[('Mamaroneck Station Commuter Rail (New Haven Line)', '11 min walk', '0.5 mi'), ('Larchmont Station Commuter Rail (New Haven Line)', '10 min drive', '5.7 mi'), ('Westchester County Airport', '21 min drive', '11.6 mi'), ('La Guardia Airport', '32 min drive', '18.4 mi'), ('John F. Kennedy International Airport', '40 min drive', '26.0 mi'), ('NY - Red Hook Container Terminal', '46 min drive', '28.1 mi'), ('GENESEE AND WYOMING-GREENWICH-CT-66 FIELD P', '16 min drive', '9.2 mi')]",
2277 Goshen Tpke,Bus Line,"2,400 SF",Middletown,"Rental Rate,$7.50 /SF/YR,Rentable Building Area,2,400 SF,Property Type,Industrial,Year Built,1989,Property Subtype,Warehouse",4/16/2020,19243338,$0.63 SF/Mo,Industrial,"2,400 SF",1 Space,NY,For Lease,Industrial,"[('Middletown New York Commuter Rail (Bergen County/Port Jervis, Main/Port Jervis Lines)', '7 min drive', '2.5 mi'), ('Campbell Hall Commuter Rail (Bergen County/Port Jervis, Main/Port Jervis Lines)', '10 min drive', '4.6 mi'), ('Stewart International Airport', '26 min drive', '15.7 mi'), ('Port Newark Container Terminal', '91 min drive', '71.3 mi'), ('NS INDEPENDENT BULK TRANSFER TERMINAL-PATTERSON-NJ', '66 min drive', '52.5 mi')]",
605 E 132nd St,Air Conditioning,"38,150 SF",Bronx,"Property Type,Industrial,Rentable Building Area,38,150 SF,Property Subtype,Warehouse,Showroom,OfficeLoft Creative Space,Year Built,1945",2/7/2020,8280036,Rent Upon Request,Industrial,"450 - 2,450 SF",3 Spaces,NY,For Lease,Industrial,"[('Brook Avenue Transit Stop', '10 min walk', '0.5 mi'), ('Cypress Avenue Transit Stop', '11 min walk', '0.6 mi'), ('3 Avenue-138 Street Transit Stop', '18 min walk', '0.9 mi'), ('East 143 Street-St Marys Street Transit Stop', '20 min walk', '0.9 mi'), ('Harlem-125th Street Station Commuter Rail (Hudson, Harlem, New Haven Lines)', '4 min drive', '1.4 mi'), ('Melrose Station Commuter Rail (Harlem Line)', '7 min drive', '2.5 mi'), ('La Guardia Airport', '13 min drive', '5.8 mi'), ('John F. Kennedy International Airport', '26 min drive', '16.9 mi'), ('Newark Liberty International Airport', '38 min drive', '22.7 mi'), ('NY - Red Hook Container Terminal', '22 min drive', '13.1 mi'), ('CSX INTERMODAL-LITTLE FERRY-NJ', '18 min drive', '11.4 mi')]",
1 Enterprise Pl,Air Conditioning,"149,532 SF",Hicksville,"Rental Rate,$15.50 /SF/YR,Rentable Building Area,149,532 SF,Property Type,Industrial,Year Built,1970,Property Subtype,Warehouse",4/16/2020,19244047,$1.29 SF/Mo,Industrial,"6,200 SF",1 Space,NY,For Lease,Industrial,"[('Bethpage Station Commuter Rail (Ronkonkoma Branch)', '8 min drive', '2.9 mi'), ('Hicksville Station Commuter Rail (Ronkonkoma Branch, Port Jefferson Branch, Montauk Branch)', '7 min drive', '2.9 mi'), ('John F. Kennedy International Airport', '33 min drive', '23.8 mi'), ('Long Island MacArthur Airport', '40 min drive', '24.1 mi'), ('La Guardia Airport', '38 min drive', '24.7 mi'), ('NY - Red Hook Container Terminal', '47 min drive', '33.5 mi'), ('Pinter Warehouse', '23 min drive', '14.1 mi')]","Sewer - City Sewer,Heating - Gas"
94 Main Mill St,"Buss Ducts,Fenced Lot,Floor Drains,Property Manager on Site,Security System,Yard,Storage Space,Fluorescent Lighting,Air Conditioning","500,000 SF",Plattsburgh,"Min. Divisible,5,000 SF,Rentable Building Area,500,000 SF,Property Type,Industrial,Year Built,1960,Property Subtype,Warehouse,Industrial Distribution",7/29/2015,4174640,Rent Upon Request,Industrial,"5,000 - 195,000 SF",1 Space,NY,For Lease,Industrial,"[('Burlington International Airport', '89 min drive', '32.8 mi'), ('Albany, NY Port', '195 min drive', '160.4 mi'), ('Vermont Commercial Warehouse', '85 min drive', '31.2 mi')]",
2463-2499 Long Beach Rd,"24 Hour Access,Air Conditioning,Signage","4,000 SF",Oceanside,"Rental Rate,$22.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,1,070 SF,Rentable Building Area,4,000 SF,Property Type,Industrial,Year Built,1957",4/11/2020,19197343,$1.83 SF/Mo,Industrial,"1,070 - 1,850 SF",1 Space,NY,For Lease,Office/Retail,"[('Rockville Centre Station Commuter Rail (Babylon Branch)', '20 min walk', '1.0 mi'), ('East Rockaway Station Commuter Rail (Long Beach Branch)', '5 min drive', '1.8 mi'), ('John F. Kennedy International Airport', '16 min drive', '11.4 mi'), ('La Guardia Airport', '25 min drive', '18.4 mi'), ('Newark Liberty International Airport', '59 min drive', '34.0 mi'), ('NY - Red Hook Container Terminal', '31 min drive', '21.1 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '24 min drive', '16.0 mi')]",Gas
16 Mt. Ebo Rd S,"24 Hour Access,Property Manager on Site,Signage,Air Conditioning","72,560 SF",Brewster,"Rental Rate,$18.00 - $22.00 /SF/YR,Rentable Building Area,72,560 SF,Property Type,Industrial,Year Built/Renovated,1984/2002,Property Subtype,Warehouse,Cross Streets,Doansburg Rd",3/19/2020,8320140,$1.50 - $1.83 SF/Mo,Industrial,"189 - 3,458 SF",4 Spaces,NY,For Lease,Office,"[('Brewster Station Commuter Rail (Harlem Line)', '9 min drive', '4.9 mi'), ('Southeast Station Commuter Rail (Harlem Line)', '14 min drive', '5.3 mi'), ('Westchester County Airport', '39 min drive', '28.9 mi'), ('Stewart International Airport', '54 min drive', '37.5 mi'), ('NY - Red Hook Container Terminal', '82 min drive', '65.0 mi'), (""Shepard'S Incorporated"", '27 min drive', '15.2 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating"
130-11 Atlantic Ave,,"54,500 SF",Richmond Hill,"Rental Rate,$19.68 /SF/YR,Rentable Building Area,54,500 SF,Property Type,Industrial,Year Built,1930,Property Subtype,Warehouse",2/27/2018,11744575,$1.64 SF/Mo,Industrial,"14,500 SF",1 Space,NY,For Lease,Industrial,"[('Jamaica Station Commuter Rail (West Hempstead Branch, Ronkonkoma Branch, Oyster Bay Branch, Long Beach Branch, Port Jefferson Branch, Hempstead Branch, Montauk Branch, Far Rockaway Branch, Babylon Branch)', '16 min walk', '0.8 mi'), ('Kew Gardens Station Commuter Rail (Long Beach Branch, Port Jefferson Branch, Hempstead Branch, Babylon Branch)', '5 min drive', '1.7 mi')]","Gas - Natural,Heating - Gas"
1700 Atlantic Ave,,"25,700 SF",Brooklyn,"Rental Rate,$15.00 /SF/YR,Rentable Building Area,25,700 SF,Property Type,Industrial,Year Built,1920,Property Subtype,Warehouse",9/12/2018,13770636,$1.25 SF/Mo,Industrial,"25,700 SF",1 Space,NY,For Lease,Industrial,"[('Utica Avenue Transit Stop', '7 min walk', '0.3 mi'), ('Kingston-Throop Avenues Transit Stop', '10 min walk', '0.5 mi'), ('Crown Heights-Utica Avenue Transit Stop', '15 min walk', '0.7 mi'), ('Ralph Avenue Transit Stop', '15 min walk', '0.8 mi'), ('Kingston Avenue Transit Stop', '19 min walk', '0.9 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '15 min walk', '0.7 mi'), ('East New York Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Far Rockaway Branch)', '3 min drive', '1.6 mi'), ('John F. Kennedy International Airport', '16 min drive', '10.1 mi'), ('La Guardia Airport', '18 min drive', '12.8 mi'), ('Newark Liberty International Airport', '37 min drive', '17.6 mi'), ('NY - Red Hook Container Terminal', '9 min drive', '4.7 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '10 min drive', '4.1 mi')]",
31-33 School St,"Property Manager on Site,Security System,Storage Space","38,200 SF",Yonkers,"Rental Rate,$12.00 - $15.00 /SF/YR,Rentable Building Area,38,200 SF,Property Type,Industrial,Year Built,1914,Property Subtype,Warehouse",10/14/2019,16129992,$1.00 - $1.25 SF/Mo,Industrial,"800 - 11,900 SF",3 Spaces,NY,For Lease,Industrial,"[('Yonkers Station Commuter Rail (Hudson Line)', '15 min walk', '0.7 mi'), ('Ludlow Station Commuter Rail (Hudson Line)', '3 min drive', '1.2 mi'), ('La Guardia Airport', '25 min drive', '16.2 mi'), ('Westchester County Airport', '30 min drive', '21.7 mi'), ('John F. Kennedy International Airport', '37 min drive', '25.1 mi'), ('NY - Red Hook Container Terminal', '32 min drive', '21.9 mi'), ('Marschall Warehouse', '20 min drive', '14.9 mi')]","Lighting - Fluorescent,Water - City Water,Sewer - City Sewer"
402 Vulcan St,"Bus Line,Signage","151,367 SF",Tonawanda,"Property Type,Industrial,Year Built,1920,Property Subtype,Warehouse,Industrial Distribution,Showroom,Cross Streets,Seabrook St.,Rentable Building Area,151,367 SF",7/5/2018,4186739,Rent Upon Request,Industrial,"8,000 SF",1 Space,NY,For Lease,Industrial,"[('Buffalo Niagara International Airport', '25 min drive', '12.5 mi'), ('Albany, NY Port', '344 min drive', '290.6 mi'), ('TRANSFLO-ROCHESTER-NY', '17 min drive', '8.6 mi')]",
215 Rogers Way,,"65,776 SF",Westhampton Beach,"Rental Rate,$20.98 - $22.48 /SF/YR,Rentable Building Area,65,776 SF,Property Type,Industrial,Year Built,2019,Property Subtype,Warehouse",4/8/2020,13897694,$1.75 - $1.87 SF/Mo,Industrial,"2,020 - 39,138 SF",13 Spaces,NY,For Lease,Industrial,"[('Westhampton Station Commuter Rail (Montauk Branch)', '4 min drive', '1.3 mi'), ('Speonk Station Commuter Rail (Montauk Branch)', '10 min drive', '5.2 mi'), ('Long Island MacArthur Airport', '43 min drive', '28.6 mi'), ('NY - Red Hook Container Terminal', '103 min drive', '79.8 mi'), ('Pinter Warehouse', '59 min drive', '42.0 mi')]",
390 Knickerbocker Ave,Signage,"33,550 SF",Bohemia,"Rental Rate,$11.00 /SF/YR,Rentable Building Area,33,550 SF,Property Type,Industrial,Year Built,1985,Property Subtype,Warehouse,Industrial Manufacturing,Showroom",11/18/2019,4005281,$0.92 SF/Mo,Industrial,"1,819 SF",1 Space,NY,For Lease,Industrial,"[('Sayville Station Commuter Rail (Montauk Branch)', '10 min drive', '3.4 mi'), ('Ronkonkoma Station Commuter Rail (Ronkonkoma Branch, Greenport Branch)', '10 min drive', '4.0 mi'), ('Long Island MacArthur Airport', '6 min drive', '2.1 mi'), ('NY - Red Hook Container Terminal', '70 min drive', '54.3 mi'), ('Pinter Warehouse', '25 min drive', '15.8 mi')]","Lighting - Fluorescent,Gas - Natural,Water - County Water,Sewer - Septic Field,Heating - Gas"
25 Franklin St,24 Hour Access,"25,000 SF",Brooklyn,"Rental Rate,$58.00 /SF/YR,Rentable Building Area,25,000 SF,Property Type,Industrial,Year Built,1973,Property Subtype,Warehouse",10/4/2019,17367623,$4.83 SF/Mo,Industrial,"25,000 SF",1 Space,NY,For Lease,Flex,"[('Nassau Avenue Transit Stop', '(G)', '10 min walk'), ('0.5 mi', 'Greenpoint Avenue Transit Stop', '(G)'), ('11 min walk', '0.5 mi', 'Bedford Avenue Transit Stop'), ('16 min walk', '0.8 mi', 'Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)'), ('5 min drive', '1.7 mi', 'Long Island City Station Commuter Rail (Hempstead Branch)'), ('6 min drive', '2.0 mi', 'La Guardia Airport'), ('12 min drive', '6.8 mi', 'John F. Kennedy International Airport'), ('23 min drive', '15.2 mi', 'Newark Liberty International Airport'), ('35 min drive', '15.8 mi', 'NY - Red Hook Container Terminal'), ('11 min drive', '5.6 mi', 'PORT OF NEW YORK AND NEW JERSEY'), ('12 min drive', '5.8 mi')]","Lighting - Sodium,Sewer"
1150 Metropolitan Ave,"Waterfront,Storage Space,Air Conditioning","83,600 SF",Brooklyn,"Min. Divisible,5,000 SF,Rentable Building Area,83,600 SF,Property Type,Industrial,Year Built,1971,Property Subtype,Warehouse",7/28/2019,16971452,Rent Upon Request,Industrial,"5,000 - 45,000 SF",1 Space,NY,For Lease,Industrial,"[('Grand Street', '13 min walk', '0.6 mi'), ('Jefferson Street Transit Stop', '15 min walk', '0.7 mi'), ('Morgan Avenue Transit Stop', '16 min walk', '0.8 mi'), ('Graham Avenue Transit Stop', '16 min walk', '0.8 mi'), ('Montrose Avenue Transit Stop', '19 min walk', '0.9 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '8 min drive', '3.3 mi'), ('Long Island City Station Commuter Rail (Hempstead Branch)', '9 min drive', '3.8 mi'), ('La Guardia Airport', '13 min drive', '7.1 mi'), ('John F. Kennedy International Airport', '21 min drive', '11.2 mi'), ('Newark Liberty International Airport', '36 min drive', '16.2 mi'), ('NY - Red Hook Container Terminal', '13 min drive', '6.1 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '8 min drive', '3.1 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating"
32- 35 48th Ave,"Restaurant,Storage Space","380,000 SF",Long Island City,"Rental Rate,$11.50 /SF/YR,Rentable Building Area,380,000 SF,Property Type,Industrial,Year Built,1964,Property Subtype,Warehouse",4/2/2019,15628866,$0.96 SF/Mo,Industrial,"23,821 SF",1 Space,NY,For Lease,Industrial,"[('33 Street', '6 min walk', '0.3 mi'), ('Queens Plaza Transit Stop', '13 min walk', '0.6 mi'), ('40 Street-Lowery Street Transit Stop', '14 min walk', '0.7 mi'), ('Long Island City-Court Square Transit Stop', '(G)', '17 min walk'), ('0.8 mi', 'Queensboro Plaza Transit Stop', '17 min walk'), ('0.9 mi', 'Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '17 min walk'), ('0.9 mi', 'Long Island City Station Commuter Rail (Hempstead Branch)', '5 min drive'), ('1.6 mi', 'La Guardia Airport', '10 min drive'), ('5.3 mi', 'John F. Kennedy International Airport', '21 min drive'), ('14.0 mi', 'Newark Liberty International Airport', '34 min drive'), ('18.9 mi', 'NY - Red Hook Container Terminal', '14 min drive'), ('7.7 mi', 'NEW YORK AND ATLANTIC RAILWAY', '11 min drive'), ('4.9 mi',)]",Heating
9-20 35th Ave,,"118,627 SF",Long Island City,,11/20/2019,16963776,Rent Upon Request,Office,"1,037 - 45,415 SF",14 Spaces,NY,For Lease,Office,"[('36 Avenue Transit Stop', '17 min walk', '0.8 mi'), ('21 Street-Queensbridge Transit Stop', '17 min walk', '0.8 mi'), ('Broadway', '20 min walk', '1.0 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '5 min drive', '1.9 mi'), ('Long Island City Station Commuter Rail (Hempstead Branch)', '5 min drive', '2.0 mi'), ('La Guardia Airport', '9 min drive', '4.5 mi'), ('John F. Kennedy International Airport', '22 min drive', '15.5 mi'), ('Newark Liberty International Airport', '36 min drive', '19.6 mi')]",
845 E 136th St,Security System,"94,325 SF",Bronx,"Rental Rate,$22.00 - $28.00 /SF/YR,Rentable Building Area,94,325 SF,Property Type,Industrial,Year Built,1929,Property Subtype,Warehouse",2/7/2020,8737611,$1.83 - $2.33 SF/Mo,Industrial,"6,150 - 94,275 SF",4 Spaces,NY,For Lease,Industrial,,"Lighting - Halogen,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
2300 Linden Blvd,"Commuter Rail,Storage Space","90,000 SF",Brooklyn,"Min. Divisible,35,000 SF,Rentable Building Area,90,000 SF,Property Type,Industrial,Year Built/Renovated,1957/2018,Property Subtype,Warehouse",11/12/2018,12085306,Rent Upon Request,Industrial,"35,000 - 90,000 SF",1 Space,NY,For Lease,Industrial,"[('New Lots Avenue', '11 min walk', '0.6 mi'), ('Van Siclen Avenue', '16 min walk', '0.8 mi'), ('Shepherd Avenue Transit Stop', '20 min walk', '1.0 mi'), ('East New York Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Far Rockaway Branch)', '8 min drive', '3.3 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '11 min drive', '5.4 mi'), ('John F. Kennedy International Airport', '12 min drive', '7.2 mi'), ('La Guardia Airport', '19 min drive', '13.0 mi'), ('Newark Liberty International Airport', '44 min drive', '21.4 mi'), ('NY - Red Hook Container Terminal', '16 min drive', '8.4 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '11 min drive', '5.0 mi')]","Gas,Heating - Gas"
57 Seaview Blvd,,"130,853 SF",Port Washington,"Rental Rate,$11.00 - $26.00 /SF/YR,Rentable Building Area,130,853 SF,Property Type,Industrial,Year Built,1985,Property Subtype,Warehouse,Office Building",3/27/2019,6332454,$0.92 - $2.17 SF/Mo,Industrial,"38,068 - 130,853 SF",2 Spaces,NY,For Lease,"Office, Industrial","[('Port Washington Station Commuter Rail (Port Washington Branch)', '9 min drive', '3.8 mi'), ('Plandome Station Commuter Rail (Port Washington Branch)', '9 min drive', '4.0 mi'), ('La Guardia Airport', '27 min drive', '17.2 mi'), ('John F. Kennedy International Airport', '29 min drive', '19.6 mi'), ('Westchester County Airport', '57 min drive', '36.4 mi'), ('NY - Red Hook Container Terminal', '38 min drive', '25.3 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '27 min drive', '17.7 mi')]","Water - City Water,Sewer - City Sewer,Heating - Gas"
2060 Main St,Storage Space,"245,000 SF",Apalachin,"Rental Rate,$3.75 /SF/YR,Property Subtype,Warehouse,Min. Divisible,10,000 SF,Rentable Building Area,245,000 SF,Property Type,Industrial,Year Built,1980",3/10/2020,18802475,$0.31 SF/Mo,Industrial,"10,000 - 150,000 SF",1 Space,NY,For Lease,Flex,,"Lighting - Fluorescent,Gas - Natural,Water - County Water,Sewer - County Sewer,Heating - Gas"
2505 Bruckner Blvd,"Mezzanine,Signage,Fluorescent Lighting","700,000 SF",Bronx,"Min. Divisible,25,000 SF,Rentable Building Area,700,000 SF,Property Type,Industrial,Year Built,2021,Property Subtype,Warehouse,Construction Status,Proposed",12/20/2018,9527544,Rent Upon Request,Industrial,"25,000 - 700,000 SF",2 Spaces,NY,For Lease,Industrial,"[('Zerega Avenue Transit Stop', '18 min walk', '0.9 mi'), ('Castle Hill Avenue Transit Stop', '19 min walk', '1.0 mi'), ('Tremont Station Commuter Rail (Harlem Line)', '7 min drive', '3.9 mi'), ('Botanical Garden Station Commuter Rail (Harlem Line)', '9 min drive', '4.8 mi'), ('La Guardia Airport', '15 min drive', '7.9 mi'), ('John F. Kennedy International Airport', '23 min drive', '15.4 mi'), ('Westchester County Airport', '35 min drive', '22.5 mi'), ('NY - Red Hook Container Terminal', '28 min drive', '17.3 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '21 min drive', '12.5 mi')]",
344 Duffy Ave,"Security System,Storage Space,Air Conditioning","195,610 SF",Hicksville,"Rental Rate,$17.00 /SF/YR,Rentable Building Area,195,610 SF,Min. Divisible,50,000 SF,Year Built,2020,Property Type,Industrial,Construction Status,Under Construction,Property Subtype,Warehouse",11/21/2017,10132933,$1.42 SF/Mo,Industrial,"50,000 - 195,610 SF",1 Space,NY,For Lease,Industrial,"[('Hicksville Station Commuter Rail (Ronkonkoma Branch, Port Jefferson Branch, Montauk Branch)', '4 min drive', '1.5 mi'), ('Westbury Station Commuter Rail (Port Jefferson Branch)', '5 min drive', '2.6 mi'), ('La Guardia Airport', '32 min drive', '22.2 mi'), ('John F. Kennedy International Airport', '28 min drive', '23.3 mi'), ('Westchester County Airport', '62 min drive', '42.9 mi'), ('NY - Red Hook Container Terminal', '41 min drive', '30.1 mi'), ('Pinter Warehouse', '23 min drive', '18.5 mi')]",Gas - Natural
33-02 Skillman Ave,"24 Hour Access,Bus Line,Metro/Subway,Signage,Air Conditioning","104,150 SF",Long Island City,"Property Type,Flex,Rentable Building Area,104,150 SF,Property Subtype,Showroom,Showroom,Industrial Warehouse,OfficeLoft Creative Space,Year Built/Renovated,1940/2020,Building Class,C,Construction Status,Under Renovation",6/29/2018,6529730,Rent Upon Request,Flex,"15,550 - 83,550 SF",5 Spaces,NY,For Lease,Flex,"[('33 Street', '4 min walk', '0.2 mi'), ('Queens Plaza Transit Stop', '9 min walk', '0.5 mi'), ('39 Avenue Transit Stop', '11 min walk', '0.5 mi'), ('40 Street-Lowery Street Transit Stop', '11 min walk', '0.5 mi'), ('36 Street', '13 min walk', '0.7 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '19 min walk', '1.0 mi'), ('Long Island City Station Commuter Rail (Hempstead Branch)', '5 min drive', '1.8 mi'), ('La Guardia Airport', '10 min drive', '5.1 mi'), ('John F. Kennedy International Airport', '22 min drive', '14.5 mi'), ('Newark Liberty International Airport', '35 min drive', '19.0 mi')]","Water - City Water,Sewer - City Sewer,Heating - Fired Oil"
